Bcmass tau  tauerror
6.179241 0.04417267 0.030704172
6.1972733 0.063424364 0.032465238
6.4044237 0.12514058 0.030361481
6.182326 0.08382908 0.024481006
6.290613 0.33884647 0.04801436
6.081001 0.03946717 0.027126888
6.4658046 0.0329943 0.042917013
6.2671466 0.8118035 0.18610865
6.429551 0.021220231 0.04029491
6.399538 0.35938632 0.051130492
6.0647917 0.91902924 0.08569002
6.2119923 0.020027107 0.029752417
6.2518506 0.050073415 0.035382606
6.2164087 0.65375113 0.09833504
6.4673376 0.054361712 0.0373923
6.34458 0.39107803 0.057270795
6.123028 0.048591122 0.02994722
6.252861 0.06806635 0.038156427
6.301389 0.20548154 0.063635185
6.12108 0.03643453 0.028207967
6.1901164 1.329433 0.15300122
6.307756 0.3018642 0.047710348
6.132188 0.07133473 0.21037741
6.3526745 0.21801732 0.03251341
6.2475924 1.4031929 0.60546964
6.1369224 1.2103909 0.31879613
6.295144 0.5472336 0.04641192
6.372683 0.04289541 0.036646903
6.0581045 0.0638112 0.03896535
6.2752423 0.33956704 0.058262367
6.1376667 0.23259142 0.05859851
6.217093 0.058817912 0.038584407
6.2889075 0.34736255 0.052976143
6.0683656 0.09236968 0.056094825
6.2539535 0.1073981 0.02783117
6.2000012 0.03517875 0.038981285
6.114251 0.013761242 0.05090164
6.2599382 0.17294452 0.036626857
6.3317175 0.25153813 0.05168041
6.231602 0.080500364 0.044574086
6.1603813 0.09878551 0.041053947
6.105914 0.17375708 0.074465826
6.158438 0.048587993 0.037544392
6.2026515 0.5105492 0.09814122
6.318544 0.020132083 0.05161011
6.314 0.93716687 0.1924915
6.241767 0.044928886 0.03457039
6.3336678 0.04693694 0.02866141
6.1933756 0.29469118 0.0938623
6.2671247 0.08067948 0.0551963
6.2432837 0.018187225 0.047374688
6.4853797 0.10298303 0.04453619
6.3441143 0.08708986 0.05854607
6.315582 0.024764653 0.023280725
6.1839046 0.05115963 0.041147035
6.1993613 0.24562897 0.043686066
6.315781 0.044049606 0.041840687
6.1495824 0.13590205 0.045937166
6.337067 0.04446101 0.042619165
6.1121716 0.07434749 0.032809243
6.2240005 0.056982715 0.03998975
6.1430783 0.034482684 0.032572336
6.4754605 0.0311434 0.019297494
6.070429 0.04531843 0.029658595
6.0682893 0.032896668 0.0680379
6.45205 0.068651944 0.029103003
6.220375 0.25229394 0.06585121
6.1347203 0.60052365 0.1430753
6.2566094 0.07640087 0.036176886
6.12818 0.048563574 0.0332707
6.2749343 0.042970102 0.035379514
6.1475015 0.10121811 0.048831776
6.257784 0.09757316 0.04038988
6.2263627 0.8552176 0.28687388
6.425272 0.03656036 0.039012868
6.1157875 0.058250725 0.031687725
6.300229 0.05016836 0.02918775
6.1113462 0.057247512 0.04658044
6.4932685 0.10799717 0.03414879
6.421513 0.11143448 0.04585854
6.4515243 0.054551657 0.06923794
6.339529 0.044311717 0.035601433
6.4233413 0.14081183 0.034677073
6.3680973 0.08970545 0.041168697
6.3541517 0.05919515 0.03097066
6.390454 0.06651422 0.049872823
6.2012906 0.09012644 0.04416188
6.100833 0.03166926 0.028637813
6.208681 0.10982515 0.048350085
6.1096582 0.040727407 0.03269109
6.2331944 0.04037015 0.041167647
6.429104 0.07562567 0.032972433
6.357168 0.056125976 0.03134744
6.1823225 0.0324366 0.032697856
6.1462374 0.11645878 0.04670543
6.10069 0.06564834 0.06590504
6.089558 0.5168876 0.06235631
6.338067 0.07731951 0.03098936
